AccelerometerEvent sender: /android/brenner, time: 1341234147114, x:  0.131880968809, y:  0.944658458233, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147134, x:  0.131880968809, y:  0.944658458233, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147154, x:  0.134811669588, y:  0.940750956535, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234147194, x:  0.126019597054, y:  0.943681597710, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147197, x:  0.126019597054, y:  0.943681597710, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147234, x:  0.133834764361, y:  0.945635437965, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234147259, x:  0.133834764361, y:  0.945635437965, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234147274, x:  0.131880968809, y:  0.945635437965, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234147314, x:  0.127973392606, y:  0.945635437965, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234147321, x:  0.127973392606, y:  0.945635437965, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234147354, x:  0.130904078484, y:  0.939773976803, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234147384, x:  0.130904078484, y:  0.939773976803, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234147394, x:  0.129927173257, y:  0.944658458233, z:  0.090851336718
AccelerometerEvent sender: /android/brenner, time: 1341234147434, x:  0.128950282931, y:  0.944658458233, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147446, x:  0.128950282931, y:  0.944658458233, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234147474, x:  0.133834764361, y:  0.942704737186, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234147509, x:  0.133834764361, y:  0.942704737186, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234147514, x:  0.131880968809, y:  0.946612298489, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234147554, x:  0.126996502280, y:  0.943681597710, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147571, x:  0.126996502280, y:  0.943681597710, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147594, x:  0.128950282931, y:  0.943681597710, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234147635, x:  0.125042706728, y:  0.942704737186, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234147635, x:  0.125042706728, y:  0.942704737186, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234147675, x:  0.127973392606, y:  0.945635437965, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234147696, x:  0.127973392606, y:  0.945635437965, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234147714, x:  0.133834764361, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234147757, x:  0.129927173257, y:  0.945635437965, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234147759, x:  0.129927173257, y:  0.945635437965, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234147970, x:  0.128950282931, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147977, x:  0.128950282931, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234147994, x:  0.129927173257, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148034, x:  0.132857874036, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148039, x:  0.132857874036, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148074, x:  0.130904078484, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148102, x:  0.130904078484, y:  0.946612298489, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148114, x:  0.128950282931, y:  0.943681597710, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148154, x:  0.130904078484, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234148165, x:  0.130904078484, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234148194, x:  0.133834764361, y:  0.943681597710, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148227, x:  0.133834764361, y:  0.943681597710, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148234, x:  0.131880968809, y:  0.941727817059, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148274, x:  0.128950282931, y:  0.944658458233, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148290, x:  0.128950282931, y:  0.944658458233, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148314, x:  0.133834764361, y:  0.944658458233, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234148352, x:  0.133834764361, y:  0.944658458233, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234148355, x:  0.130904078484, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148395, x:  0.127973392606, y:  0.943681597710, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148415, x:  0.127973392606, y:  0.943681597710, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148435, x:  0.128950282931, y:  0.947589218616, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234148475, x:  0.129927173257, y:  0.944658458233, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148478, x:  0.129927173257, y:  0.944658458233, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234148515, x:  0.130904078484, y:  0.944658458233, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148540, x:  0.130904078484, y:  0.944658458233, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148555, x:  0.125042706728, y:  0.947589218616, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234148595, x:  0.131880968809, y:  0.946612298489, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148602, x:  0.131880968809, y:  0.946612298489, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148635, x:  0.129927173257, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148665, x:  0.129927173257, y:  0.945635437965, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148675, x:  0.126019597054, y:  0.943681597710, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234148716, x:  0.129927173257, y:  0.943681597710, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148727, x:  0.129927173257, y:  0.943681597710, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234148756, x:  0.127973392606, y:  0.947589218616, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234148790, x:  0.127973392606, y:  0.947589218616, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234148796, x:  0.129927173257, y:  0.944658458233, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234148836, x:  0.129927173257, y:  0.945635437965, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148852, x:  0.129927173257, y:  0.945635437965, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234148875, x:  0.132857874036, y:  0.945635437965, z:  0.083036161959
