800,,,,,,
scooping,4050,4070,,,,
ACCEL,2011-03-16 17:14:11.232,1,2744,0.08984375,-36.11719,63.77734
ACCEL,2011-03-16 17:14:11.252,1,2745,0.015625,0.140625,-7.925781
ACCEL,2011-03-16 17:14:11.272,1,2746,0.5273438,89.26172,0.4296875
ACCEL,2011-03-16 17:14:11.292,1,2747,0,0.00390625,0.2578125
ACCEL,2011-03-16 17:14:11.312,1,2748,0.8320313,-0.05078125,0.1640625
ACCEL,2011-03-16 17:14:11.266,110,424,0.890625,-0.0625,0.0625
ACCEL,2011-03-16 17:14:11.286,110,425,0.953125,-0.0546875,0.01171875
ACCEL,2011-03-16 17:14:11.306,110,426,0.9804688,-0.06640625,-0.1015625
ACCEL,2011-03-16 17:14:11.326,110,427,1,-0.1015625,-0.1132813
ACCEL,2011-03-16 17:14:11.346,110,428,1.015625,-0.1289063,-0.1640625
ACCEL,2011-03-16 17:14:11.366,110,429,1.042969,-0.1757813,-0.2695313
ACCEL,2011-03-16 17:14:11.386,110,430,1.085938,-0.1445313,-0.2578125
ACCEL,2011-03-16 17:14:11.406,110,431,1.089844,-0.1132813,-0.28125
ACCEL,2011-03-16 17:14:11.333,1,2749,-63.92578,0.7148438,-79.96094
ACCEL,2011-03-16 17:14:11.353,1,2750,0.08984375,-119.9414,63.83984
ACCEL,2011-03-16 17:14:11.373,1,2751,-127.8359,0.08984375,-87.79688
ACCEL,2011-03-16 17:14:11.393,1,2752,0.3398438,-95.82813,0.1523438
ACCEL,2011-03-16 17:14:11.413,1,2753,-67.78125,0.5898438,55.69922
ACCEL,2011-03-16 17:14:11.433,1,2754,0.3828125,0,-0.2695313
ACCEL,2011-03-16 17:14:11.453,1,2755,1.085938,-0.1445313,-0.2578125
ACCEL,2011-03-16 17:14:11.406,110,432,1.078125,-0.09375,-0.3203125
ACCEL,2011-03-16 17:14:11.426,110,433,1.082031,-0.078125,-0.4023438
ACCEL,2011-03-16 17:14:11.446,110,434,1.078125,-0.0546875,-0.4375
ACCEL,2011-03-16 17:14:11.466,110,435,1.082031,-0.04296875,-0.46875
ACCEL,2011-03-16 17:14:11.486,110,436,1.070313,-0.00390625,-0.5390625
ACCEL,2011-03-16 17:14:11.506,110,437,1.039063,0.0078125,-0.6054688
ACCEL,2011-03-16 17:14:11.526,110,438,1.003906,0.0234375,-0.6289063
ACCEL,2011-03-16 17:14:11.546,110,439,0.9726563,0.0546875,-0.6796875
ACCEL,2011-03-16 17:14:11.578,110,440,0.921875,0.09765625,-0.71875
ACCEL,2011-03-16 17:14:11.598,110,441,0.859375,0.125,-0.7226563
ACCEL,2011-03-16 17:14:11.618,110,442,0.7929688,0.1484375,-0.765625
ACCEL,2011-03-16 17:14:11.638,110,443,0.7460938,0.1757813,-0.828125
ACCEL,2011-03-16 17:14:11.658,110,444,0.6992188,0.203125,-0.8476563
ACCEL,2011-03-16 17:14:11.678,110,445,0.6484375,0.21875,-0.9101563
ACCEL,2011-03-16 17:14:11.698,110,446,0.59375,0.2382813,-0.9726563
ACCEL,2011-03-16 17:14:11.718,110,447,0.5546875,0.2539063,-1.011719
ACCEL,2011-03-16 17:14:11.730,110,448,0.515625,0.2890625,-1.023438
ACCEL,2011-03-16 17:14:11.750,110,449,0.4414063,0.3203125,-1.054688
ACCEL,2011-03-16 17:14:11.770,110,450,0.34375,0.3242188,-1.046875
ACCEL,2011-03-16 17:14:11.790,110,451,0.2421875,0.34375,-1.066406
ACCEL,2011-03-16 17:14:11.810,110,452,0.171875,0.3515625,-1.023438
ACCEL,2011-03-16 17:14:11.830,110,453,0.1132813,0.3476563,-1.007813
ACCEL,2011-03-16 17:14:11.850,110,454,0.09375,0.3359375,-0.953125
ACCEL,2011-03-16 17:14:11.870,110,455,0.078125,0.3007813,-0.9179688
ACCEL,2011-03-16 17:14:11.890,110,456,0.078125,0.2539063,-0.8632813
ACCEL,2011-03-16 17:14:11.797,1,2772,20.625,1.148438,-127.3438
ACCEL,2011-03-16 17:14:11.817,1,2773,2.777344,104.625,2.460938
ACCEL,2011-03-16 17:14:11.837,1,2774,48.60156,2.148438,24.625
ACCEL,2011-03-16 17:14:11.857,1,2775,1.023438,4.585938,0.3359375
